Arrival_Date,Modal_Price_volatility_30_commodity
2025-01-01,1.894427190999916
2025-01-02,4.004723454532493
2025-01-03,4.4732833034926305
2025-01-04,4.388536578736538
2025-01-05,4.388263587941939
2025-01-06,4.536252000930181
2025-01-07,4.545741904349857
2025-01-08,4.527813722509404
2025-01-09,4.400135123871292
2025-01-10,4.321291832781248
2025-01-11,4.440467061922779
2025-01-12,4.755472832798278
2025-01-13,5.1683763119975525
2025-01-14,5.632298015541887
2025-01-15,5.687705191541522
2025-01-16,5.685079923348171
2025-01-17,6.095970322784849
2025-01-18,5.73303039980528
2025-01-19,5.432977291041983
2025-01-20,4.542477802481752
2025-01-21,4.590418569596
2025-01-22,4.747184737067986
2025-01-23,4.921610922673972
2025-01-24,5.075579891769619
2025-01-25,5.417896400603764
2025-01-26,5.768773817670764
2025-01-27,5.9256274482354145
2025-01-28,5.865922943962146
2025-01-29,5.430124753253965
2025-01-30,5.036564290066689
2025-01-31,4.56716700816033
2025-02-01,4.173886248005338
2025-02-02,3.677164260565272
2025-02-03,2.947992210550506
2025-02-04,2.8395506431662465
2025-02-05,2.8542064700937884
2025-02-06,2.759312085514219
2025-02-07,2.527743893028277
2025-02-08,2.3304579984970397
2025-02-09,2.29782768931585
2025-02-10,2.2692761687823095
2025-02-11,2.232554410580127
2025-02-12,2.232554410580127
2025-02-13,1.9938990161293921
2025-02-14,1.7287295182088755
2025-02-15,1.4399421416020797
2025-02-16,1.5256428831469098
2025-02-17,1.1796232261781716
2025-02-18,1.3199611034393173
2025-02-19,1.795952005291399
2025-02-20,2.1446626907223294
2025-02-21,2.6625461637359527
2025-02-22,2.839037332512887
2025-02-23,2.8592448379892934
2025-02-24,2.813572362341983
2025-02-25,2.745121520833645
2025-02-26,2.9836594044951017
2025-02-27,3.0716659474595813
2025-02-28,3.011362171126267
2025-03-01,3.019248422322281
2025-03-02,3.389245411795389
2025-03-03,3.408631690238577
2025-03-04,3.2513662542909327
2025-03-05,2.9790099414388793
