Arrival_Date,Modal_Price_volatility_30_commodity
2025-01-01,1.8755337793847315
2025-01-02,2.4673226764322336
2025-01-03,2.4830843746408506
2025-01-04,3.028148668117469
2025-01-05,3.4309659712273195
2025-01-06,4.265435991861376
2025-01-07,4.481730622700226
2025-01-08,4.405391949596771
2025-01-09,4.135755213423666
2025-01-10,4.393399101292605
2025-01-11,6.719514159785959
2025-01-12,10.660267375334973
2025-01-13,11.7335179373384
2025-01-14,12.021549753148301
2025-01-15,10.780602072522854
2025-01-16,11.748077043882246
2025-01-17,13.421284812630429
2025-01-18,12.847787134394453
2025-01-19,10.604987379187799
2025-01-20,9.530878168249815
2025-01-21,10.357447344015066
2025-01-22,12.784250469651482
2025-01-23,14.57993957352472
2025-01-24,13.155258022845876
2025-01-25,9.506839132505535
2025-01-26,8.967217752039161
2025-01-27,8.219042337252429
2025-01-28,7.364138669250546
2025-01-29,6.433813439010034
2025-01-30,5.581958202260203
2025-01-31,4.690713550695538
2025-02-01,3.8288720867843136
2025-02-02,3.866776754619094
2025-02-03,3.635233426943735
2025-02-04,3.5128838446869084
2025-02-05,3.5178019492547223
2025-02-06,3.4615913887915206
2025-02-07,3.2358577269161883
2025-02-08,2.693704530488712
2025-02-09,2.4071031835033634
2025-02-10,2.477311981738922
2025-02-11,2.8972199717267877
2025-02-12,4.021809628420931
2025-02-13,4.640831847182384
2025-02-14,4.30671803928848
2025-02-15,3.7475706134288043
2025-02-16,2.523049698913976
2025-02-17,1.6993031592633507
2025-02-18,2.0976874060530197
2025-02-19,2.7783461039323236
2025-02-20,3.2902169333783613
2025-02-21,3.9280925521215613
2025-02-22,4.2994925273493525
2025-02-23,4.669656378507247
2025-02-24,5.142715560421465
2025-02-25,5.369884252856372
2025-02-26,5.623425135973508
2025-02-27,6.001949282729693
2025-02-28,6.034549717841682
2025-03-01,5.716711673296545
2025-03-02,5.490325870194025
2025-03-03,5.931812356482497
2025-03-04,6.3820170553830575
2025-03-05,6.242195758539403
