Arrival_Date,Modal_Price_volatility_30_commodity
2025-01-01,3.5574463864942754
2025-01-02,6.007737155050547
2025-01-03,6.322949935982966
2025-01-04,6.507224253346665
2025-01-05,6.215870672079273
2025-01-06,5.617118902718535
2025-01-07,4.689456424470558
2025-01-08,3.778840940195273
2025-01-09,3.270553142139666
2025-01-10,2.499539923192462
2025-01-11,2.1730029128932484
2025-01-12,2.789619845489127
2025-01-13,3.13389724667444
2025-01-14,3.4248637909545487
2025-01-15,3.2307539586050367
2025-01-16,3.1322099547496807
2025-01-17,3.058341809861207
2025-01-18,3.1528290838246553
2025-01-19,3.3639883339830114
2025-01-20,3.5705396087644745
2025-01-21,3.7836000376956895
2025-01-22,4.321306455561309
2025-01-23,4.51890162816735
2025-01-24,4.393798980710637
2025-01-25,4.390195827308637
2025-01-26,4.506856317913496
2025-01-27,4.7338861152293426
2025-01-28,4.788728849514631
2025-01-29,4.694254445806693
2025-01-30,4.400916617808787
2025-01-31,3.903053630036306
2025-02-01,3.5816381219156406
2025-02-02,3.606118257943867
2025-02-03,3.9510738476747256
2025-02-04,4.806909259132505
2025-02-05,5.1983352456973915
2025-02-06,5.160975300955545
2025-02-07,5.136570453911215
2025-02-08,4.342237942424108
2025-02-09,4.199421251388068
2025-02-10,4.541812623604798
2025-02-11,4.36720753534773
2025-02-12,4.7481856418829596
2025-02-13,4.542263382217468
2025-02-14,4.314493514876721
2025-02-15,4.185263477391439
2025-02-16,3.6283506861329906
2025-02-17,3.4988955692696853
2025-02-18,2.8567323186168267
2025-02-19,2.737430136475306
2025-02-20,3.3562103891622224
2025-02-21,3.3562103891622224
2025-02-22,3.5470967057713403
2025-02-23,4.155666639923062
2025-02-24,4.063514173105188
2025-02-25,4.403588853267862
2025-02-26,4.510311648024856
2025-02-27,5.13865510530963
2025-02-28,6.2156804638841745
2025-03-01,6.027429009703546
2025-03-02,5.939423425456504
2025-03-03,6.015240223818284
2025-03-04,4.339216059759791
2025-03-05,4.140947334465705
