Arrival_Date,Modal_Price_volatility_30_commodity
2025-01-01,0.0
2025-01-02,21.213203435596427
2025-01-03,17.320508075688775
2025-01-05,15.0
2025-01-06,13.416407864998739
2025-01-07,12.24744871391589
2025-01-08,11.338934190276817
2025-01-09,10.606601717798213
2025-01-11,10.92906420717
2025-01-12,10.327955589886445
2025-01-13,9.816498172140427
2025-01-14,9.374368665610922
2025-01-15,8.98717034272917
2025-02-01,8.92582375303981
2025-02-02,8.618916073713345
2025-02-04,8.341662504161464
2025-02-06,8.574929257125442
2025-02-07,8.323523637957303
2025-02-08,8.09302638222512
2025-02-09,7.880689256524122
2025-02-11,8.047478161629565
2025-02-12,7.8541907086797735
2025-02-15,7.674195764535269
2025-02-16,7.506036218280919
2025-02-17,7.348469228349534
2025-02-18,7.200427337745576
2025-02-19,7.060987881136027
2025-02-20,7.200822998230955
2025-02-22,7.131764786188425
2025-02-27,7.06293547126578
2025-03-01,6.82288239221013
2025-03-02,5.6832077715593545
2025-03-03,4.138409933973338
2025-03-04,4.138409933973338
2025-03-05,4.138409933973338
