Arrival_Date,Modal_Price_volatility_30_commodity
2025-01-01,2.856613927005058
2025-01-02,3.1469834865240345
2025-01-03,3.3345509174050387
2025-01-04,3.8807783296025207
2025-01-05,4.396465043418397
2025-01-06,4.91283718952949
2025-01-07,5.422516422880623
2025-01-08,5.831203390159686
2025-01-09,6.188611776589216
2025-01-10,6.6955707808387634
2025-01-11,6.983161599887072
2025-01-12,7.020042036844907
2025-01-13,7.03400588506619
2025-01-14,6.992440579998237
2025-01-15,6.971533952570327
2025-01-16,6.921354543628177
2025-01-17,6.925046307720984
2025-01-18,6.9774754065936175
2025-01-19,7.363549208647976
2025-01-20,7.810010957093049
2025-01-21,8.131050226283698
2025-01-22,8.259597236793716
2025-01-23,8.246937293024281
2025-01-24,8.173060742142981
2025-01-25,8.107090737045224
2025-01-26,8.014699257374076
2025-01-27,7.890382308623217
2025-01-28,7.701506242237699
2025-01-29,7.462237909182087
2025-01-30,7.199397844868813
2025-01-31,7.178111677265007
2025-02-01,7.155488484746729
2025-02-02,7.180082266583821
2025-02-03,7.294047981943905
2025-02-04,7.415533269198703
2025-02-05,7.415045575875595
2025-02-06,7.336026571857274
2025-02-07,7.275700984919237
2025-02-08,7.132783399817774
2025-02-09,6.757103805064057
2025-02-10,6.398744880195502
2025-02-11,6.136512557535244
2025-02-12,5.886999626751464
2025-02-13,5.576410866763101
2025-02-14,5.124230079803698
2025-02-15,4.97032741675828
2025-02-16,4.871203657940691
2025-02-17,4.887289734730732
2025-02-18,4.771434379189645
2025-02-19,4.584454105518211
2025-02-20,4.393387802134836
2025-02-21,4.3376381362710195
2025-02-22,4.324350283524643
2025-02-23,4.1807403169650765
2025-02-24,4.034894858060353
2025-02-25,3.889527438857318
2025-02-26,3.7603684678005704
2025-02-27,3.6089815594537455
2025-02-28,3.331291254236371
2025-03-01,3.204007123890678
2025-03-02,3.031218699529224
2025-03-03,2.8120876182774976
2025-03-04,2.7272192087970044
2025-03-05,2.762889967624707
