Arrival_Date,Modal_Price_volatility_30_commodity
2025-01-01,1.3546532069299144
2025-01-02,1.381075669087665
2025-01-03,1.4383946348627976
2025-01-04,1.4670467646211807
2025-01-05,1.663233634871302
2025-01-06,1.7200669703245814
2025-01-07,1.7439658498244663
2025-01-08,1.6935588623780191
2025-01-09,1.7062645149927358
2025-01-10,1.7192677686731117
2025-01-11,1.6738878374145238
2025-01-12,1.6757914815728392
2025-01-13,1.7876322624016738
2025-01-14,1.8023990183754928
2025-01-15,2.1121151630528585
2025-01-16,2.1402732083103757
2025-01-17,2.140411205854859
2025-01-18,2.133105022393455
2025-01-19,2.1186051792034415
2025-01-20,2.095398174968645
2025-01-21,2.0854443599874757
2025-01-22,2.120832379470281
2025-01-23,2.046786244477146
2025-01-24,2.0140191164093117
2025-01-25,1.921592829411532
2025-01-26,1.8520028659382255
2025-01-27,1.7498841879075464
2025-01-28,1.7311741539611987
2025-01-29,1.6799184174759745
2025-01-30,1.442213377602401
2025-01-31,1.4124626055384304
2025-02-01,1.5474172150765548
2025-02-02,1.5815027514034257
2025-02-03,1.6210345229216794
2025-02-04,1.6043859860463043
2025-02-05,1.7151686902207366
2025-02-06,1.7411007609442726
2025-02-07,1.7590325656620833
2025-02-08,1.7559635934114732
2025-02-09,1.7373202452178795
2025-02-10,1.7289101134541098
2025-02-11,1.7773594346163342
2025-02-12,1.7356137105679534
2025-02-13,1.7186797928235806
2025-02-14,1.4514418632439698
2025-02-15,1.4599463484975956
2025-02-16,1.4541642129340913
2025-02-17,1.4352781760057267
2025-02-18,1.4382600084358026
2025-02-19,1.4435906757342662
2025-02-20,1.4533525042558848
2025-02-21,1.3771714315166603
2025-02-22,1.3810511465596338
2025-02-23,1.384142185059864
2025-02-24,1.3835697467474377
2025-02-25,1.4287331922163706
2025-02-26,1.5001784921639156
2025-02-27,1.5449873268030216
2025-02-28,1.476031740488954
2025-03-01,1.5023964084749972
2025-03-02,1.5077272773357073
2025-03-03,1.4742589966305082
2025-03-04,1.4582690835420176
2025-03-05,1.4054788129631377
