Arrival_Date,Modal_Price_volatility_30_commodity
2025-01-01,0.0
2025-01-05,0.0
2025-01-08,0.0
2025-01-10,0.0
2025-01-11,0.0
2025-01-17,0.0
2025-01-18,11.338934190276815
2025-01-19,10.606601717798211
2025-01-20,9.999999999999998
2025-01-21,9.266086658919022
2025-01-22,8.332864746198517
2025-01-23,8.11725010299892
2025-01-24,8.40168050416806
2025-01-25,8.017161364000536
2025-01-26,7.6729693648846835
2025-01-27,7.518094115561121
2025-01-28,7.372097807744855
2025-02-02,7.2341781380702335
2025-02-04,7.1036285419170415
2025-02-05,6.921017967533148
2025-02-06,6.696967430266575
2025-02-19,6.6436383882991965
2025-02-20,6.789105539243626
2025-02-21,6.789105539243627
2025-02-22,7.4578000679128165
2025-02-23,8.087168778415268
2025-02-24,8.33538357252051
2025-02-25,8.772792178362508
2025-02-26,8.58359836662575
2025-02-27,8.603661343041527
2025-02-28,8.606999978135857
2025-03-01,8.603661343041528
2025-03-02,8.914210547761217
2025-03-03,9.376086793793739
2025-03-04,9.979054185955572
2025-03-05,10.242061380892343
2025-03-06,10.131092942538604
