Arrival_Date,Modal_Price_volatility_30_commodity
2025-01-01,5.118904738435874
2025-01-02,5.76842458633546
2025-01-03,5.628934102632593
2025-01-04,5.699522753231779
2025-01-05,5.50135395505422
2025-01-06,5.8235823484486335
2025-01-07,5.948169489155515
2025-01-08,6.419005780320673
2025-01-09,6.306978663905209
2025-01-10,5.717483426126934
2025-01-11,5.73308128698165
2025-01-12,5.86912545716549
2025-01-13,6.338278436285642
2025-01-14,5.777932148980558
2025-01-15,5.5863203215971104
2025-01-16,5.449239430369773
2025-01-17,5.550308308783541
2025-01-18,5.899164194609721
2025-01-19,5.999212492016227
2025-01-20,5.678690724034511
2025-01-21,4.984615329545092
2025-01-22,4.4362777461389635
2025-01-23,5.220085438368193
2025-01-24,5.788693810196128
2025-01-25,5.68115398331808
2025-01-26,4.953878837545973
2025-01-27,4.838255484850276
2025-01-28,4.882172489293253
2025-01-29,7.682584590531573
2025-01-30,9.189615534311416
2025-01-31,9.098161599241875
2025-02-01,6.078310343381336
2025-02-02,6.4102730278656415
2025-02-03,6.823219591312846
2025-02-04,6.02149727985125
2025-02-05,5.38948873291263
2025-02-06,4.64279583815963
2025-02-07,4.608001774781959
2025-02-08,4.7473879534531
2025-02-09,4.884356597123698
2025-02-10,4.861036703491641
2025-02-11,5.058198552073118
2025-02-12,4.620511873080287
2025-02-13,4.730799504265541
2025-02-14,5.04745063366342
2025-02-15,5.295830798669983
2025-02-16,5.218972974380924
2025-02-17,4.862887915633806
2025-02-18,4.562945722709296
2025-02-19,4.5455915158392655
2025-02-20,4.883929161324983
2025-02-21,5.0944972097840155
2025-02-22,4.933599926900987
2025-02-23,4.894320848903585
2025-02-24,5.036248990556422
2025-02-25,5.458509257440295
2025-02-26,5.322648101408706
2025-02-27,5.576049076160015
2025-02-28,5.688034237912292
2025-03-01,5.47078799921951
2025-03-02,6.032044488030556
2025-03-03,8.641582894446769
2025-03-04,10.266427410520834
2025-03-05,11.405875935810547
