Arrival_Date,Modal_Price_volatility_30_commodity
2025-01-01,3.383814284299879
2025-01-02,3.2291829119983286
2025-01-03,2.6786204989321827
2025-01-04,1.6727554273620309
2025-01-05,1.9163855155784888
2025-01-06,1.8089938613615415
2025-01-07,1.7123906346891766
2025-01-08,1.981306337520757
2025-01-09,2.5164878410020584
2025-01-10,2.7859726784505114
2025-01-11,2.2921763866990137
2025-01-12,1.8003054236594083
2025-01-13,2.1311057245677456
2025-01-14,2.1131239692714474
2025-01-15,2.582877953527167
2025-01-16,3.3452089143425665
2025-01-17,4.994149053670605
2025-01-18,5.448272106844153
2025-01-19,4.4552149438052675
2025-01-20,4.388185565543873
2025-01-21,4.183404511493267
2025-01-22,3.619214418667275
2025-01-23,2.746261623541203
2025-01-24,2.4611513226904878
2025-01-25,2.158478801095734
2025-01-26,1.657716312984848
2025-01-27,1.463236728871914
2025-01-28,1.460382667819419
2025-01-29,1.3436025497055781
2025-01-30,1.5617850700388454
2025-01-31,2.6789351132961645
2025-02-01,3.072940446681297
2025-02-02,2.739639806601825
2025-02-03,2.2807694695690013
2025-02-04,2.169665837959675
2025-02-05,1.8686907156139667
2025-02-06,1.850591256039032
2025-02-07,2.1326528771041064
2025-02-08,2.236635137442445
2025-02-09,1.9899386505017505
2025-02-10,1.9515425675440463
2025-02-11,1.8961897339307596
2025-02-12,1.5994061068094252
2025-02-13,1.5364263764935524
2025-02-14,1.4795331199677064
2025-02-15,1.8928459690447865
2025-02-16,2.3912223789435862
2025-02-17,2.8802843823770714
2025-02-18,2.879623476242626
2025-02-19,2.5946571700914345
2025-02-20,2.2737659661297687
2025-02-21,2.3029075851708214
2025-02-22,2.5809472860143603
2025-02-23,2.4794338602659067
2025-02-24,2.275313166939579
2025-02-25,2.3695627033870856
2025-02-26,2.990733946673202
2025-02-27,3.648129545225434
2025-02-28,3.9933936910373617
2025-03-01,3.663503069789586
2025-03-02,3.3038848666429086
2025-03-03,3.2461991881848715
2025-03-04,3.0836810598923345
2025-03-05,2.4686124943083776
